Funds,Fund Manager,Category,RupeeVestRating,AUM(in Rs. cr),ExpenseRatio (%),Fund Type,Inception Date,Benchmark Index, NAV , 52 WeekHigh (NAV), 52 WeekLow (NAV),Return (%)1 mo,Return (%)3 mo,Return (%)6 mo,Return (%)1 yr,Return (%)2 yrs,Return (%)3 yrs,Return (%)5 yrs,Return (%)10 yrs,Turnover Ratio (%), No. ofStocks,Avg. Market Cap(in Rs. cr),Large Cap(%),Mid Cap(%),Small Cap(%),Highest Sector,Avg. Maturity(in yrs),Mod. Duration(in yrs),Yield To Maturity (%),Alpha,Sharpe,Sortino,Beta,Standard Deviation,classification,Exit_load_Remarks
Franklin India Smaller Cos Fund(G),R. Janakiraman,EQ-SML,1,14045.3,1.73,Open Ended,13-Jan-06,Nifty Smallcap 250 - TRI,181.9,188.14,139.74,0.52,-3.15,-0.91,23.55,37.41,25.2,29.06,17.25,27.73,93,19008,4.68,12.86,76.42,Financials,-,-,-,15.04,1.19,1.73,0.8,16.09,Equity : Small Cap,1% on or before 1Y
Franklin India ST Income Plan(G),Santosh Kamath,DT-SD,1,12.5,-,Open Ended,31-Jan-02,CRISIL Short Term Bond Index,5149.41,5149.41,5149.41,0,0,0,0,3.37,5.09,4.75,6.27,0,-,-,-,-,-,-,1.17,1.05,10.88,-4.11,-133.56,-78.85,-,-,Debt : Short Duration,Nil
Franklin India Technology Fund(G),R. Janakiraman,EQ-TECH,Unrated,1950.1,2.03,Open Ended,22-Aug-98,BSE TECk Index - TRI,547.91,570.03,417.35,1.03,0.02,9.22,28.81,39.37,14.78,26.74,17.42,67.58,29,275044,63.35,7.36,16.34,Technology,-,-,-,19.4,1.55,2.81,0.68,14.68,Equity : Sectoral - Technology,1% on or before 1Y
Franklin India Ultra Short Duration Fund-Reg(G),Rohan Maru,DT-USD,Unrated,216.3,0.73,Open Ended,29-Aug-24,NIFTY Ultra Short Duration Debt Index,10.24,10.24,10,0.57,1.68,-,-,-,-,-,-,0,-,-,-,-,-,-,0.65,0.38,7.37,-,-,-,-,-,Debt : Ultra Short Duration,Nil
Groww Aggressive Hybrid Fund-Reg(G),Anupam Tiwari,HY-EQ,Unrated,46,2.3,Open Ended,13-Dec-18,CRISIL Hybrid 35+65 - Aggressive Index,20.43,21.7,17.86,-1.74,-5.66,-2.16,12.41,15.65,11.75,12.87,-,158,30,371037,64.21,3.21,2.55,Financials,-,-,-,2.6,0.72,1.07,1.97,11.61,Hybrid : Equity Oriented,1% on or before 7D Nil after 7D
Groww Banking & Financial Services Fund-Reg(G),Anupam Tiwari,EQ-FIN,Unrated,47.7,2.3,Open Ended,06-Feb-24,Nifty Financial Services - TRI,11.15,11.53,9.81,-0.3,-2.25,0.63,-,-,-,-,-,65,28,230740,68.07,9.51,18.87,Financials,-,-,-,-,-,-,-,-,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
Groww Dynamic Bond Fund-Reg(G),Kaustubh Sule,DT-DYN,Unrated,52.4,1.45,Open Ended,04-Dec-18,CRISIL Dynamic Bond Index,1414.96,1417.2,1322.4,0.32,0.56,3.57,6.81,6.08,4.97,5.12,-,0,-,-,-,-,-,-,17.07,6.77,6.99,0.55,1.89,3.33,0.71,1.41,Debt : Dynamic Bond,Nil
Groww ELSS Tax Saver Fund-Reg(G),Anupam Tiwari,EQ-ELSS,Unrated,50,2.25,Open Ended,28-Dec-17,BSE 500 - TRI,20.52,21.68,16.97,-0.93,-4.87,0.74,18.49,22.4,15.51,15.01,-,134,46,86978,45.43,24.81,23.99,Financials,-,-,-,9.42,0.92,1.37,0.97,15.49,Equity : Tax Saving (ELSS),Nil
Groww Gold ETF,Wilfred Gonsalves,GOLD-ETF,Unrated,55.6,0.51,Open Ended,22-Oct-24,Gold-India,76.69,79.3,73.44,-0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold : ETFs,null
Groww Gold ETF FOF-Reg(G),Wilfred Gonsalves,GOLD-MF,Unrated,14.8,0.55,Open Ended,06-Nov-24,Gold-India,9.75,10,9.43,-0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gold : MFs,1% on or before 30D Nil after 30D
Groww Largecap Fund-Reg(G),Anupam Tiwari,EQ-LC,Unrated,127.2,2.42,Open Ended,10-Feb-12,NIFTY 100 - TRI,42.02,45.73,36.24,-2.08,-8.09,-4.08,13.13,18.22,13.55,13.04,11.23,161,31,322282,86.18,3.62,3.16,Financials,-,-,-,4.26,0.63,0.94,1.02,15.05,Equity : Large Cap,1% on or before 7D Nil after 7D
Groww Liquid Fund-Reg(G),Kaustubh Sule,DT-LIQ,4,154.1,0.2,Open Ended,25-Oct-11,CRISIL Liquid Debt Index,2440.38,2440.38,2273.59,0.59,1.75,3.55,7.36,7.05,6.24,5.13,6.24,0,4,-,-,-,-,-,0.06,0.07,7.1,1.74,10.68,13.31,-,0.16,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL on or after 7D
Groww Multicap Fund-Reg(G),Anupam Tiwari,EQ-MLC,Unrated,-,-,Open Ended,16-Dec-24,Nifty500 Multicap 50:25:25 - TRI,10.07,10.07,9.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
Groww Nifty 1D Rate Liquid ETF,Kaustubh Sule,DT-ETF,Unrated,41.2,0.29,Open Ended,24-Sep-24,Nifty 1D Rate Index,101.82,101.82,100,0.56,1.6,-,-,-,-,-,-,0,-,-,-,-,-,-,0.01,0.01,6.68,-,-,-,-,-,Debt : ETFs,null
Groww Nifty EV & New Age Automotive ETF,Abhishek Jain,EQ-ETF,Unrated,223.8,0.47,Open Ended,07-Aug-24,Nifty EV and New Age Automotive - TRI,30.51,35.3,29.41,-2,-14.43,-,-,-,-,-,-,9,33,102156,51.52,34.29,14.09,Automobile and Ancillaries,-,-,-,-,-,-,-,-,Equity : ETFs,null
Groww Nifty EV & New Age Automotive ETF FOF-Reg(G),Abhishek Jain,FOF-DOM,Unrated,109.8,0.62,Open Ended,12-Aug-24,Nifty EV and New Age Automotive - TRI,9.38,10.92,9.06,-1.96,-14.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FoFs : Domestic,1% on or before 30D Nil after 30D
Groww Nifty India Defence ETF,Abhishek Jain,EQ-ETF,Unrated,76.2,0.43,Open Ended,08-Oct-24,Nifty India Defence - TRI,65.74,70.19,59.77,-2.52,-,-,-,-,-,-,-,-,16,77368,41.53,35.53,22.81,Capital Goods,-,-,-,-,-,-,-,-,Equity : ETFs,null
Groww Nifty India Defence ETF FOF-Reg(G),Abhishek Jain,FOF-DOM,Unrated,27,0.63,Open Ended,11-Oct-24,Nifty India Defence - TRI,9.72,10.39,8.87,-2.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,FoFs : Domestic,1% on or before 30D Nil after 30D
Groww Nifty Non-Cyclical Consumer Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,45.6,1,Open Ended,22-May-24,Nifty Non-Cyclical Consumer - TRI,11.07,12.38,9.73,-0.32,-10.19,3.58,-,-,-,-,-,6,30,233584,82.73,15.65,1.66,FMCG,-,-,-,-,-,-,-,-,Equity : Index Funds,1% on or before 30D Nil after 30D
Groww Nifty Smallcap 250 Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,95,1.05,Open Ended,29-Feb-24,Nifty Smallcap 250 - TRI,11.94,12.38,9,0.97,-3.55,2.78,-,-,-,-,-,32,250,19551,-,8.01,92.08,Financials,-,-,-,-,-,-,-,-,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Groww Nifty Total Market Index Fund-Reg(G),Abhishek Jain,EQ-INDX,Unrated,254.9,1.05,Open Ended,23-Oct-23,Nifty Total Market - TRI,13.5,14.48,11.36,-0.93,-7.31,-0.96,15.59,-,-,-,-,12,752,195010,67.97,17.92,14.07,Financials,-,-,-,6.96,0.8,1.15,1,15.04,Equity : Index Funds,0.25% on or before 7D Nil after 7D
Groww Overnight Fund-Reg(G),Kaustubh Sule,DT-ON,Unrated,26.4,0.24,Open Ended,08-Jul-19,CRISIL Liquid Overnight Index,1290.53,1290.53,1211.15,0.54,1.59,3.21,6.57,6.44,5.79,4.71,-,0,-,-,-,-,-,-,0.01,0.01,6.68,1.13,8.26,10.95,-,0.14,Debt : Overnight,Nil
Groww Short Duration Fund-Reg(G),Kaustubh Sule,DT-SD,Unrated,58.8,1.6,Open Ended,13-Sep-13,CRISIL Short Duration Debt Index,1993.08,1993.17,1867.2,0.5,1.28,3.54,6.75,6.11,4.74,4.59,5.96,0,-,-,-,-,-,-,3.38,2.74,7.18,1.86,4.31,8.98,0.28,0.62,Debt : Short Duration,Nil
Groww Value Fund-Reg(G),Anupam Tiwari,EQ-VAL,Unrated,46.7,2.3,Open Ended,07-Sep-15,NIFTY 500 - TRI,25.87,27.68,22.56,-2.38,-6.7,-1.72,11.97,21.78,14.85,16.87,-,103,36,176329,64.9,12.79,15.81,Financials,-,-,-,3.58,0.57,0.83,0.96,14.84,Equity : Value / Contra,1% on or before 1Y Nil after 1Y
HDFC Arbitrage-WP(G),Arun Agarwal,HY-ARB,2,16790.6,0.93,Open Ended,23-Oct-07,Nifty 50 Arbitrage,29.66,29.66,27.57,0.69,1.86,3.54,7.65,7.45,6.35,5.25,5.75,304.88,156,234004,58.77,15.07,3.4,Financials,0.49,0.44,7.43,3.65,3.44,8.28,-0.07,1,Hybrid : Arbitrage,0.25% on or before 1M Nil after 1M
HDFC Asset Allocator FoF-Reg(G),Srinivasan Ramamurthy,FOF-DOM,Unrated,3397.8,1.15,Open Ended,05-May-21,NIFTY 50 Hybrid Composite Debt 65:35 Index,17.12,17.46,14.87,-0.25,-2.05,2.81,14.12,17.71,14.91,-,-,-,-,-,-,-,-,-,-,-,-,5.92,1.41,2.06,1.27,6.83,FoFs : Domestic,Nil upto 15% of units and 1% for remaining units on or before 1Y Nil after 1Y
HDFC Balanced Advantage Fund(G),Gopal Agrawal,HY-DYN,4,95569.9,1.35,Open Ended,11-Sep-00,NIFTY 50 Hybrid Composite Debt 50:50 Index,504.01,517.12,428.38,-0.46,-2.78,1.08,16.64,24.03,22.45,19.8,14.21,21.71,161,277334,53.13,6.64,6.82,Financials,7.82,4.21,7.27,6.8,1.15,1.58,1.96,10.89,Hybrid : Dynamic Asset Allocation,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Banking & Financial Services Fund-Reg(G),Anand Laddha,EQ-FIN,Unrated,3687.2,1.9,Open Ended,01-Jul-21,Nifty Financial Services - TRI,15.76,16.73,13.5,-0.52,-4.47,-1.62,10.35,16.21,16.04,-,-,20.07,33,220154,65.72,15.23,17.76,Financials,-,-,-,2.24,0.46,0.65,1.04,16.5,Equity : Sectoral - Financial Services,1% on or before 30D Nil after 30D
HDFC Banking and PSU Debt Fund-Reg(G),Anil Bamboli,DT-B&PSU,4,5881.5,0.79,Open Ended,26-Mar-14,NIFTY Banking and PSU Debt Index,22.02,22.02,20.42,0.54,1.46,3.95,7.82,7.32,5.96,6.38,7.48,0,-,-,-,-,-,-,5.27,3.69,7.42,2.7,5.15,9.78,0.35,0.73,Debt : Banking & PSU,Nil
HDFC BSE 500 ETF,Abhishek Mor,EQ-ETF,Unrated,15.1,0.3,Open Ended,15-Feb-23,BSE 500 - TRI,36.37,39.14,30.57,-1.07,-7.59,-1.23,15.64,-,-,-,-,62.81,501,224480,71.41,18.07,10.47,Financials,-,-,-,7.31,0.8,1.16,1,14.9,Equity : ETFs,null
HDFC BSE 500 Index Fund-Reg(G),Nirman Morakhia,EQ-INDX,Unrated,195.6,0.81,Open Ended,21-Apr-23,BSE 500 - TRI,15.16,16.33,12.86,-1.11,-7.66,-1.56,14.56,-,-,-,-,27.76,501,224537,71.41,18.05,10.47,Financials,-,-,-,6.02,0.74,1.08,1,14.85,Equity : Index Funds,Nil
HDFC BSE Sensex ETF,Abhishek Mor,EQ-ETF,Unrated,465.4,0.05,Open Ended,09-Dec-15,BSE SENSEX - TRI,88.99,807.26,78.33,-1.63,-6.69,-0.81,9.84,15.69,12.46,15.21,-,21.9,30,684545,99.27,0.72,-,Financials,-,-,-,1.79,0.46,0.72,0.99,13.84,Equity : ETFs,null
HDFC BSE Sensex Index Fund(G)(Post Addendum),Nirman Morakhia,EQ-INDX,2,7812.8,0.36,Open Ended,17-Jul-02,BSE SENSEX - TRI,735.66,789.41,642.5,-1.67,-6.77,-0.98,9.49,15.27,12.03,14.71,11.95,7.46,30,684545,99.28,0.72,-,Financials,-,-,-,1.08,0.44,0.68,1,13.9,Equity : Index Funds,0.25% on or before 3D Nil after 3D
HDFC Business Cycle Fund-Reg(G),Rahul Baijal,EQ-THEM,Unrated,3011.5,1.95,Open Ended,30-Nov-22,NIFTY 500 - TRI,14.63,15.6,12.55,0.04,-5.59,1.09,14.08,21.41,-,-,-,32.36,62,158414,61.12,12.76,19.51,Financials,-,-,-,5.82,0.76,1.11,0.9,13.56,Equity : Thematic,1% on or before 1Y Nil after 1Y
HDFC Capital Builder Value Fund(G),Anand Laddha,EQ-VAL,2,7384.1,1.84,Open Ended,01-Feb-94,NIFTY 500 - TRI,723.08,772.62,585.68,-1.01,-6.53,0.86,21.09,25.75,18.12,20.01,13.76,19.27,89,159002,65.67,13.75,19.53,Financials,-,-,-,11.79,1.15,1.67,0.94,14.42,Equity : Value / Contra,1% on or before 1Y Nil after 1Y
HDFC Charity Fund for Cancer Cure-Reg(50% IDCW Donation Option),Anil Bamboli,DT-FMP,Unrated,189.8,-,Closed Ended,14-Aug-23,NIFTY Medium Duration Debt Index,10.15,10.46,10.04,0.58,1.58,3.97,8.32,-,-,-,-,0,-,-,-,-,-,-,1.79,1.63,7.04,3.63,6.03,13.57,0.19,0.7,Debt : FTP/FMP,null
HDFC Childrens Fund,Chirag Setalvad,HY-SOL,4,9937.5,1.73,Open Ended,02-Mar-01,NIFTY 50 Hybrid Composite Debt 65:35 Index,294.42,299.86,249.47,-0.08,-2.07,2.47,16.3,21.8,16.66,18.52,13.55,13.27,46,126151,37.5,1.16,27.18,Financials,9.6,4.7,7.09,6.02,1.15,1.66,1.97,10.26,Hybrid : Solution Oriented,Nil
HDFC Corp Bond Fund(G),Anupam Joshi,DT-CORP,4,32841.1,0.61,Open Ended,29-Jun-10,NIFTY Corporate Bond Index,31.14,31.14,28.7,0.51,1.51,4.22,8.5,7.85,6.3,6.87,7.68,0,-,-,-,-,-,-,6.12,3.95,7.44,3.43,6.26,11.42,0.33,0.7,Debt : Corporate Bond,Nil
HDFC Credit Risk Debt Fund-(G),Shobhit Mehrotra,DT-CR,5,7404.3,1.58,Open Ended,25-Mar-14,NIFTY Credit Risk Bond Index,23.05,23.05,21.32,0.48,1.44,4.11,8.16,7.42,6.18,7.24,7.66,0,-,-,-,-,-,-,3.09,2.11,8.46,3.45,5.34,10.04,0.23,0.77,Debt : Credit Risk,Nil for 15% of Units For excess of limits 1% on or before 12M and 0.50% after 12M but on or before 18M Nil after 18M
HDFC Defence Fund-Reg(G),Abhishek Poddar,EQ-THEM,Unrated,4609.6,1.86,Open Ended,02-Jun-23,Nifty India Defence - TRI,21.65,24.86,15,-3.11,-0.56,-8.99,40.74,-,-,-,-,22.13,21,51791,49.18,7.9,42.02,Capital Goods,-,-,-,29.11,1.23,1.78,1.27,28.96,Equity : Thematic,1% on or before 1Y Nil after 1Y
HDFC Developed World Indexes FoF-Reg(G),Nirman Morakhia,FOF-OVR,Unrated,1286.7,0.63,Open Ended,06-Oct-21,MSCI World,14.5,14.71,11.62,0.31,3.34,9.3,22.04,22.58,10.64,-,-,-,-,-,-,-,-,-,-,-,-,15.12,1.65,2.7,0.56,10.14,FoFs : Overseas,1% on or before 30D Nil after 30D
HDFC Dividend Yield Fund-Reg(G),Gopal Agrawal,EQ-DIV,Unrated,6140.2,1.8,Open Ended,18-Dec-20,NIFTY 500 - TRI,24.96,26.9,20.98,-0.91,-7.89,-1.21,16.02,27.36,20.38,-,-,15.12,117,142612,64.44,10.11,23.76,Financials,-,-,-,7.86,0.83,1.18,1,15.53,Equity : Thematic - Dividend Yield,1% on or before 1Y Nil after 1Y
HDFC Dynamic Debt Fund(G),Anil Bamboli,DT-DYN,4,790.8,1.52,Open Ended,28-Apr-97,NIFTY Composite Debt Index,86.21,86.39,79.35,0.28,0.41,3.85,8.54,7.59,5.55,6.57,6.29,0,-,-,-,-,-,-,15.84,7.59,7.1,1.54,2.43,3.96,0.95,1.79,Debt : Dynamic Bond,Nil
HDFC Dynamic PE Ratio FOF-Reg(G),Srinivasan Ramamurthy,FOF-DOM,Unrated,49,1,Open Ended,06-Feb-12,NIFTY 50 Hybrid Composite Debt 65:35 Index,39.7,40.2,34.9,0.18,-1.58,3.05,12.96,17.9,14.4,15.62,11.17,0,-,-,-,-,-,-,2.95,2.16,-,4.91,1.26,1.8,1.27,6.88,FoFs : Domestic,1% on or before 1Y Nil after 1Y
HDFC ELSS Tax saver(G),Roshi Jain,EQ-ELSS,2,15945,1.71,Open Ended,31-Mar-96,NIFTY 500 - TRI,1346.32,1434.89,1088.15,-1.05,-6.08,0.9,21.79,27.94,21.96,20.7,12.68,40.8,51,244307,74.91,6.66,10.66,Financials,-,-,-,12.5,1.34,2.04,0.84,12.51,Equity : Tax Saving (ELSS),Nil
HDFC Equity Savings Fund(G),Srinivasan Ramamurthy,HY-EQ,2,5516.2,1.89,Open Ended,17-Sep-04,NIFTY 50 Equity Savings Index - TRI,63.96,64.88,57.72,-0.1,-1.51,2.17,10.33,12.22,10.2,11.05,9.36,22.56,68,332765,58.03,3.56,4.31,Financials,4,2.82,7.19,3.48,1.27,1.84,0.91,4.84,Hybrid : Equity Oriented,NIL upto 15% of investment and 1% in excess of 15% of investment on or before 1M NIL after 1M
HDFC Flexi Cap Fund(G),Roshi Jain,EQ-FLEX,3,66304.2,1.42,Open Ended,01-Jan-95,NIFTY 500 - TRI,1891.42,1980.58,1503.01,-0.93,-4.43,3.01,23.83,27.65,24.65,22.59,14.77,37.16,53,262039,72.4,3.91,10.97,Financials,1.14,0.92,6.78,14.39,1.54,2.33,0.8,11.99,Equity : Flexi Cap,1% on or before 1Y Nil after 1Y
HDFC Floating Rate Debt Fund(G),Shobhit Mehrotra,DT-FL,3,15103.9,0.49,Open Ended,23-Oct-07,CRISIL Short Duration Debt Index,47.85,47.85,44.22,0.56,1.79,4.07,8.26,7.95,6.82,6.71,7.4,0,-,-,-,-,-,-,4.33,1.36,7.71,3.91,9.32,20.11,0.09,0.45,Debt : Floater,Nil
HDFC FMP-Sr 46-1158D-July 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,160.6,-,Closed Ended,26-Jul-22,CRISIL Medium Duration Debt Index,11.78,11.78,10.98,0.52,1.47,3.48,7.33,7.08,-,-,-,0,-,-,-,-,-,-,0.65,0.62,6.86,2.97,7.49,17.19,0.1,0.44,Debt : FTP/FMP,null
HDFC FMP-Sr 46-1162D-Mar 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,32.2,-,Closed Ended,15-Mar-22,NIFTY Medium Duration Debt Index,11.71,11.71,10.9,0.56,1.58,3.52,7.41,7.19,-,-,-,0,-,-,-,-,-,-,0.35,0.34,6.71,3.2,9.33,20.8,0.05,0.36,Debt : FTP/FMP,null
HDFC FMP-Sr 46-1359D-Sep 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,314.9,-,Closed Ended,11-Oct-22,NIFTY Medium Duration Debt Index,11.76,11.76,10.93,0.61,1.57,3.79,7.58,7.35,-,-,-,0,-,-,-,-,-,-,1.41,1.36,6.86,2.82,5.44,11.86,0.22,0.64,Debt : FTP/FMP,null
HDFC FMP-Sr 46-1406D-Aug 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,245.1,-,Closed Ended,25-Aug-22,NIFTY Long Duration Debt Index,11.72,11.72,10.87,0.55,1.54,3.8,7.82,7.4,-,-,-,0,-,-,-,-,-,-,1.4,1.3,6.99,3.23,5.9,14.53,0.16,0.63,Debt : FTP/FMP,null
HDFC FMP-Sr 46-1861D-Mar 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,451,-,Closed Ended,09-Mar-22,NIFTY Medium to Long Duration Debt Index,11.84,11.84,10.95,0.57,1.54,3.99,8.28,7.71,-,-,-,0,-,-,-,-,-,-,2.22,2.03,7.01,3.2,5.55,12.65,0.29,0.73,Debt : FTP/FMP,null
HDFC FMP-Sr 46-1876D-Mar 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,31.6,-,Closed Ended,29-Mar-22,NIFTY Medium to Long Duration Debt Index,11.81,11.81,10.92,0.53,1.51,3.99,8.14,7.79,-,-,-,0,-,-,-,-,-,-,2.26,2.06,7,3.07,5.73,13.62,0.3,0.69,Debt : FTP/FMP,null
HDFC FMP-Sr 47-1204D-Dec 2022-Reg(G),Anupam Joshi,DT-FMP,Unrated,51.2,-,Closed Ended,27-Dec-22,NIFTY Medium Duration Debt Index,11.49,11.49,10.72,0.57,1.49,3.61,7.24,7.13,-,-,-,0,-,-,-,-,-,-,1.32,1.24,6.82,2.6,5.53,12.81,0.2,0.58,Debt : FTP/FMP,null
HDFC FMP-Sr 47-1269D-March 2023-Reg(G),Anupam Joshi,DT-FMP,Unrated,76,-,Closed Ended,21-Mar-23,NIFTY Medium Duration Debt Index,11.34,11.34,10.53,0.58,1.56,3.87,7.74,-,-,-,-,0,-,-,-,-,-,-,1.75,1.69,6.87,2.8,4.76,10.35,0.28,0.77,Debt : FTP/FMP,null
HDFC FMP-Sr 47-2638D-Feb 2023-Reg(G),Anupam Joshi,DT-FMP,Unrated,151,-,Closed Ended,23-Feb-23,NIFTY Long Duration Debt Index,11.75,11.77,10.75,0.51,1.24,4.71,9.15,-,-,-,-,0,-,-,-,-,-,-,5.19,4.94,6.95,2.55,2.99,5.65,0.83,1.67,Debt : FTP/FMP,null
HDFC Focused 30 Fund(G),Roshi Jain,EQ-MLC,2,15520.7,1.67,Open Ended,17-Sep-04,NIFTY 500 - TRI,218.46,228.88,173.45,-1.31,-4.2,2.86,24.35,27.4,24.41,22.6,13.84,32.26,30,206010,63.45,4.15,15.68,Financials,-,-,-,15.02,1.66,2.52,0.74,11.33,Equity : Multi Cap,1% on or before 1Y Nil after 1Y
HDFC Gilt Fund(G),Anil Bamboli,DT-GILT,2,2857.2,0.89,Open Ended,25-Jul-01,Nifty All Duration G-Sec Index,53.11,53.21,48.82,0.36,0.53,4.13,8.67,7.85,5.77,5.95,6.78,0,-,-,-,-,-,-,15.22,7.89,7.01,1.39,2.28,3.87,1.04,1.96,Debt : Gilt,Nil
HDFC Gold ETF,Bhagyesh Kagalkar,GOLD-ETF,Unrated,6429.4,0.59,Open Ended,13-Aug-10,Gold-India,66.66,68.71,53.64,-0.72,0.7,5.42,19.31,16.88,15.85,13.48,9.83,-,-,-,-,-,-,-,-,-,-,15.4,1.07,1.57,-0.07,14.24,Gold : ETFs,Nil
HDFC Gold ETF FoF(G),Nirman Morakhia,GOLD-MF,Unrated,2714.5,0.49,Open Ended,01-Nov-11,Gold-India,23.33,24.18,18.88,0.04,1.18,5.81,19.31,16.52,15.48,13.14,9.68,-,-,-,-,-,-,-,-,-,-,14.14,1.15,1.91,0.25,12.91,Gold : MFs,1% on or before 15D Nil after 15D
HDFC Housing Opp Fund-Reg(G),Srinivasan Ramamurthy,EQ-INFRA,1,1408.4,2.19,Open Ended,06-Dec-17,Nifty Housing - TRI,22.51,24.67,19.31,-0.96,-8.96,-7.47,13.55,25.79,21.73,18.82,-,6.3,36,113455,60.3,7.77,31.7,Financials,-,-,-,5.29,0.57,0.8,1.13,19.17,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D
HDFC Hybrid Debt Fund(G),Srinivasan Ramamurthy,HY-DT(CO),4,3322.3,1.76,Open Ended,26-Dec-03,NIFTY 50 Hybrid Composite Debt 15:85 Index,79.43,80.02,71.69,-0.02,-0.81,2.75,10.47,12.25,10.17,10.71,8.79,0,39,334329,17.97,1.98,1.92,Financials,9.1,5.08,7.4,3.43,1.57,2.25,0.99,4.07,Hybrid : Debt Oriented (Conservative),Nil for 15% of investment and 1% for remaining Investment on or before 1Y Nil after 1Y
HDFC Hybrid Equity Fund(G),Chirag Setalvad,HY-EQ,4,24184.8,1.68,Open Ended,06-Apr-05,NIFTY 50 Hybrid Composite Debt 65:35 Index,115.35,118.72,100.45,-0.52,-2.76,1.07,13.16,15.66,13.53,15.58,10.11,34.81,40,253687,48.35,3.23,16.06,Financials,10.44,5.53,7.48,3.91,0.9,1.31,1.75,9.99,Hybrid : Equity Oriented,Nil upto 15% of Units For excess Units 1% on or before 1Y and Nil after 1Y
HDFC Income Fund(G),Shobhit Mehrotra,DT-M&LD,2,860.8,1.39,Open Ended,11-Sep-00,CRISIL Medium to Long Term Debt Index,55.74,55.81,51.07,0.36,0.63,3.91,9.02,7.45,5.22,5.33,6,0,-,-,-,-,-,-,11.35,6.7,7.09,1.66,2.5,4.32,1.04,1.9,Debt : Medium to Long Duration,Nil
HDFC Infrastructure Fund(G),Srinivasan Ramamurthy,EQ-INFRA,1,2496.2,2.06,Open Ended,10-Mar-08,BSE India Infrastructure Index - TRI,46.98,50.26,37.93,-0.91,-6.65,-3.66,22.61,38.12,32.01,24.38,10.99,13.52,62,71453,44.82,7.43,41.26,Infrastructure,-,-,-,14.21,1.05,1.47,1.03,18.45,Equity : Sectoral - Infrastructure,1% on or before 30D Nil after 30D
HDFC Large and Mid Cap Fund-Reg(G),Gopal Agrawal,EQ-L&M,4,23989,1.66,Open Ended,18-Feb-94,NIFTY LargeMidcap 250 - TRI,335.4,355.77,274.64,-0.13,-6.41,0.15,19.55,28.95,21.85,23.26,14.06,5.35,205,119282,46.86,36.37,15.33,Financials,-,-,-,10.74,1.02,1.46,0.96,15.35,Equity : Large & Mid Cap,1% on or before 1Y Nil after 1Y
HDFC Liquid Fund(G),Anupam Joshi,DT-LIQ,2,72653.3,0.29,Open Ended,17-Oct-00,CRISIL Liquid Debt Index,4952.9,4952.9,4615.66,0.58,1.73,3.52,7.33,7.13,6.35,5.26,6.24,0,-,-,-,-,-,-,0.12,0.11,7.06,0.73,9.73,5.46,-,0.07,Debt : Liquid,0.007% for Day 1 0.0065% on Day 2 0.0060% on Day 3 0.0055% on Day 4 0.0050% on Day 5 0.0045% on Day 6 NIL after 7D
HDFC Long Duration Debt Fund-Reg(G),Shobhit Mehrotra,DT-LD,Unrated,5483.1,0.65,Open Ended,20-Jan-23,NIFTY Long Duration Debt Index,11.84,11.89,10.59,0.34,-0.36,3.66,11.44,-,-,-,-,0,-,-,-,-,-,-,29.73,11.9,7.13,1.51,2.06,3.65,1.8,3.35,Debt : Long Duration,Nil
HDFC Low Duration Fund(G),Anupam Joshi,DT-LOWD,4,18497,1.04,Open Ended,18-Nov-99,NIFTY Low Duration Debt Index,55.54,55.54,51.74,0.56,1.69,3.57,7.36,7.2,6.16,6.04,6.73,0,-,-,-,-,-,-,1.95,0.9,7.8,3.18,9.99,19.53,0.05,0.33,Debt : Low Duration,Nil
HDFC Manufacturing Fund-Reg(G),Rakesh Sethia,EQ-THEM,Unrated,12755.4,1.68,Open Ended,16-May-24,Nifty India Manufacturing - TRI,10.59,11.48,9.86,-0.83,-8.62,-3.46,-,-,-,-,-,-,95,104208,60.6,17.5,19.08,Automobile and Ancillaries,-,-,-,-,-,-,-,-,Equity : Thematic,1% on or before 1M Nil after 1M
